# id	length	x	y	z	rot_z	rot_y	rot_x
113	0.32	0.0	0.0	0	0	0	0
114	0.32	0.6	0.0	0	0	0	0
115	0.32	1.2	0.0	0	0	0	0
116	0.32	1.7999999999999998	0.0	0	0	0	0
117	0.32	0.0	0.6	0	0	0	0
118	0.32	0.6	0.6	0	0	0	0
119	0.32	1.2	0.6	0	0	0	0
120	0.32	1.7999999999999998	0.6	0	0	0	0
121	0.32	0.0	1.2	0	0	0	0
122	0.32	0.6	1.2	0	0	0	0
123	0.32	1.2	1.2	0	0	0	0
124	0.32	1.7999999999999998	1.2	0	0	0	0
125	0.32	0.0	1.7999999999999998	0	0	0	0
126	0.32	0.6	1.7999999999999998	0	0	0	0
127	0.32	1.2	1.7999999999999998	0	0	0	0
128	0.32	1.7999999999999998	1.7999999999999998	0	0	0	0
97	0.32	0.0	2.4	0	0	0	0
98	0.32	0.6	2.4	0	0	0	0
99	0.32	1.2	2.4	0	0	0	0
100	0.32	1.7999999999999998	2.4	0	0	0	0
101	0.32	0.0	3.0	0	0	0	0
102	0.32	0.6	3.0	0	0	0	0
103	0.32	1.2	3.0	0	0	0	0
104	0.32	1.7999999999999998	3.0	0	0	0	0
105	0.32	0.0	3.5999999999999996	0	0	0	0
106	0.32	0.6	3.5999999999999996	0	0	0	0
107	0.32	1.2	3.5999999999999996	0	0	0	0
108	0.32	1.7999999999999998	3.5999999999999996	0	0	0	0
109	0.32	0.0	4.199999999999999	0	0	0	0
110	0.32	0.6	4.199999999999999	0	0	0	0
111	0.32	1.2	4.199999999999999	0	0	0	0
112	0.32	1.7999999999999998	4.199999999999999	0	0	0	0
129	0.32	2.6	2.4	0	0	0	0
130	0.32	3.2	2.4	0	0	0	0
131	0.32	3.8	2.4	0	0	0	0
132	0.32	4.4	2.4	0	0	0	0
133	0.32	2.6	3.0	0	0	0	0
134	0.32	3.2	3.0	0	0	0	0
135	0.32	3.8	3.0	0	0	0	0
136	0.32	4.4	3.0	0	0	0	0
137	0.32	2.6	3.5999999999999996	0	0	0	0
138	0.32	3.2	3.5999999999999996	0	0	0	0
139	0.32	3.8	3.5999999999999996	0	0	0	0
140	0.32	4.4	3.5999999999999996	0	0	0	0
141	0.32	2.6	4.199999999999999	0	0	0	0
142	0.32	3.2	4.199999999999999	0	0	0	0
143	0.32	3.8	4.199999999999999	0	0	0	0
144	0.32	4.4	4.199999999999999	0	0	0	0
81	0.32	2.6	0.0	0	0	0	0
82	0.32	3.2	0.0	0	0	0	0
83	0.32	3.8	0.0	0	0	0	0
84	0.32	4.4	0.0	0	0	0	0
85	0.32	2.6	0.6	0	0	0	0
86	0.32	3.2	0.6	0	0	0	0
87	0.32	3.8	0.6	0	0	0	0
88	0.32	4.4	0.6	0	0	0	0
89	0.32	2.6	1.2	0	0	0	0
90	0.32	3.2	1.2	0	0	0	0
91	0.32	3.8	1.2	0	0	0	0
92	0.32	4.4	1.2	0	0	0	0
93	0.32	2.6	1.7999999999999998	0	0	0	0
94	0.32	3.2	1.7999999999999998	0	0	0	0
95	0.32	3.8	1.7999999999999998	0	0	0	0
96	0.32	4.4	1.7999999999999998	0	0	0	0
